g_fit,E_fit_exp,E_fit_avg,Grad Gs/cm,Intensity a.u.,Grad T/m,Normalized Intensity
3.6066232464929864,0.9161304915612348,0.9238320386476121,,,,
3.657538076152305,0.9141859071933705,0.9217781287623623,,,,
3.708452905811624,0.9122191440142362,0.919701478182189,,,,
3.7593677354709425,0.9102303996915105,0.9176023184034673,,,,
3.810282565130261,0.9082198736661056,0.9154808827400357,,,,
3.86119739478958,0.9061877671166666,0.913337406273895,,,,
3.912112224448898,0.9041342829238449,0.9111721258057134,,,,
3.963027054108217,0.9020596256343539,0.9089852798051544,,,,
4.013941883767536,0.8999640014248178,0.9067771083610481,,,,
4.064856713426854,0.8978476180654189,0.9045478531314118,,,,
4.115771543086172,0.8957106848833595,0.9022977572933446,,,,
4.166686372745491,0.8935534127261379,0.9000270654928075,,,,
4.2176012024048095,0.8913760139246583,0.8977360237943053,,,,
4.268516032064128,0.8891787022561737,0.8954248796304854,,,,
4.319430861723447,0.8869616929070796,0.8930938817516713,,,,
4.370345691382766,0.8847252024355613,0.890743280175341,,,,
4.421260521042084,0.8824694487341085,0.8883733261355744,,,,
4.472175350701403,0.8801946509919025,0.8859842720324752,,,,
4.523090180360722,0.8779010296570902,0.8835763713815891,,,,
4.5740050100200405,0.8755888063989476,0.8811498787633324,,,,
4.624919839679359,0.8732582040699497,0.8787050497724432,,,,
4.675834669338678,0.8709094466677485,0.8762421409674752,,,,
4.726749498997997,0.868542759297074,0.8737614098203426,,,,
4.777664328657315,0.866158368131565,0.8712631146659371,,,,
4.828579158316633,0.8637565003755374,0.868747514651828,,,,
4.879493987975952,0.8613373842257044,0.8662148696880592,,,,
4.9304088176352705,0.8589012488328502,0.8636654403970621,,,,
4.981323647294589,0.856448324263474,0.8610994880636934,,,,
5.032238476953908,0.8539788414614067,0.8585172745854165,,,,
5.083153306613227,0.8514930322094159,0.8559190624226345,,,,
5.134068136272545,0.8489911290908014,0.8533051145491966,,,,
5.184982965931864,0.8464733654509965,0.8506756944030858,,,,
5.235897795591183,0.8439399753591795,0.8480310658373018,,,,
5.286812625250501,0.841391193569907,0.8453714930709569,,,,
5.33772745490982,0.8388272554847763,0.8426972406405917,,,,
5.388642284569139,0.8362483971141277,0.84000857335173,,,,
5.439557114228458,0.833654855038792,0.8373057562306807,,,,
5.490471943887776,0.8310468663718972,0.8345890544766028,,,,
5.541386773547094,0.8284246687207377,0.8318587334138439,,,,
5.592301603206413,0.8257885001487175,0.8291150584445663,,,,
5.6432164328657315,0.8231385991373772,0.8263582950016726,,,,
5.69413126252505,0.8204752045485089,0.8235887085020387,,,,
5.745046092184369,0.8177985555863732,0.8208065643000739,,,,
5.795960921843688,0.8151088917600215,0.8180121276416141,,,,
5.846875751503006,0.8124064528457348,0.8152056636181567,,,,
5.897790581162325,0.8096914788495877,0.8123874371214569,,,,
5.948705410821644,0.8069642099701436,0.8095577127984901,,,,
5.999620240480962,0.8042248865612904,0.8067167550067916,,,,
6.050535070140281,0.8014737490952248,0.8038648277701862,,,,
6.1014498997996,0.7987110381255946,0.8010021947349175,,,,
6.1523647294589185,0.7959369942508023,0.7981291191261841,,,,
6.203279559118237,0.7931518580774836,0.7952458637050972,,,,
6.254194388777555,0.7903558701841648,0.7923526907260658,,,,
6.305109218436874,0.7875492710851075,0.7894498618946204,,,,
6.3560240480961925,0.784732301194349,0.7865376383256826,,,,
6.406938877755511,0.7819052007899435,0.7836162805022918,,,,
6.45785370741483,0.7790682099784163,0.7806860482347976,,,,
